price,metrosCubiertos,dormitorios,antiguedad,toilets
85000,35,1,40,1
288000,140,2,10,2
330000,75,2,2,3
215000,95,3,40,2
295000,165,4,40,4
118000,45,0,0,1
615000,140,2,15,2
235000,150,3,30,2
240000,65,2,10,1
145000,50,1,7,2
330000,106,3,15,3
80000,33,0,0,1
165000,59,1,28,1
470000,140,3,8,2
132000,55,2,1,3
105000,46,1,1,2
79000,37,1,40,1
245000,110,3,30,3
145000,67,2,20,1
238000,102,3,40,2
1950000,407,4,26,4
575000,275,3,4,5
120000,60,2,1,3
215000,150,2,3,3
250000,90,2,100,3
83000,45,1,40,1
150000,60,2,30,1
232000,85,2,35,2
199000,78,2,40,2
159900,68,3,60,1
328000,89,3,40,2
220000,92,3,30,2
65000,24,0,1,1
160000,80,2,2,4
197000,88,2,45,3
179000,80,3,60,1
225000,75,2,45,1
192500,68,2,70,1
99000,36,0,6,1
147999,48,1,1,1
124999,39,1,0,1
115000,52,1,1,2
65000,34,1,24,1
290000,91,3,0,2
127000,64,2,1,2
58000,50,2,40,1
189000,95,2,10,1
66000,28,0,1,1
179000,95,2,58,1
155000,76,2,70,1
149000,79,2,45,1
69500,41,1,40,1
398000,157,3,0,4
129000,55,2,14,1
99000,39,1,9,1
540000,185,3,40,3
118000,40,1,15,1
87000,45,1,0,1
109000,67,2,45,1
135000,85,3,40,2
150000,64,2,0,2
122000,46,1,0,1
275000,100,4,45,3
0,0,0,0,0
139000,49,2,35,1
165000,66,3,42,1
850000,265,4,1,5
575000,238,3,2,2
720000,226,4,0,3
0,200,3,30,3
380000,86,2,0,1
300000,270,4,30,2
680000,191,4,25,4
315000,140,3,30,3
98000,36,0,0,1
135000,36,1,1,0
89710,41,1,0,1
0,543,3,0,3
85000,40,1,40,1
162000,110,3,0,2
130000,59,2,45,2
155000,120,3,1,2
179500,180,3,15,3
460000,283,4,10,3
179000,77,3,40,1
67000,29,0,49,1
45000,20,0,1,1
250000,82,3,50,3
140000,53,2,40,1
210000,183,3,20,2
125000,61,2,55,1
165000,138,3,0,2
219000,174,3,0,3
155000,124,3,0,2
159500,146,3,1,2
180000,132,3,0,2
180000,180,4,8,3
185000,120,3,1,2
194000,150,3,0,2
195000,257,7,10,4
540000,205,4,0,3
720000,300,4,20,3
780000,334,5,6,3
450000,280,4,10,3
265000,140,3,2,3
155000,64,1,4,1
178000,111,2,70,3
180000,105,3,15,3
445000,297,5,30,6
175000,105,2,19,2
398000,255,5,30,2
319000,220,3,10,2
580000,370,5,30,3
219000,122,3,15,2
290000,93,3,0,2
340000,141,3,40,2
198000,157,3,30,2
167000,95,3,2,4
120000,79,3,40,2
255000,132,4,28,3
560000,233,3,30,2
250000,119,3,0,2
200000,97,2,1,2
120000,58,2,40,1
190500,85,3,2,4
360000,190,3,50,2
660000,170,3,0,3
225000,99,3,35,2
194000,60,2,20,1
88000,40,1,40,1
165000,48,1,10,1
106000,48,1,4,1
135000,2,1,0,1
360000,260,4,20,3
255000,131,3,17,2
250000,175,4,4,4
85100,43,0,0,1
49500,43,1,38,1
335000,179,5,19,4
200000,190,4,48,3
290000,103,3,2,4
179000,90,3,40,2
61500,36,1,0,1
650000,396,6,10,5
99800,66,3,39,3
125000,64,2,40,2
79000,45,2,45,1
87000,42,1,1,2
590000,186,3,30,2
160000,76,2,60,2
230000,82,2,40,2
1050000,301,4,20,6
210000,69,2,0,2
218000,71,2,11,2
215000,80,3,23,2
235000,91,3,0,2
510000,180,4,55,4
122000,59,2,40,1
140000,73,3,50,2
190000,113,3,40,2
155000,37,1,3,1
62000,38,1,12,1
340000,101,4,15,2
285000,69,2,9,2
295000,155,4,0,3
85000,33,1,45,1
310000,115,2,0,1
348000,178,3,45,1
400000,290,6,1,7
105000,42,1,1,1
188000,77,3,20,2
235000,130,2,50,1
165000,75,2,30,2
199000,70,3,20,1
109000,46,1,16,1
275000,96,3,50,2
71933,46,1,0,1
265000,114,4,0,3
330000,280,4,10,2
380000,155,4,10,4
230000,166,3,40,2
350000,168,4,14,2
320000,184,4,25,3
158000,71,2,0,2
210000,3,0,1,4
77900,35,1,25,1
280000,169,5,35,2
180000,185,2,35,1
239000,120,2,55,1
123900,107,3,1,2
47000,44,1,1,1
74500,65,2,1,2
43000,38,1,1,1
149000,56,2,40,1
56400,44,1,0,1
103200,71,2,0,2
93600,68,2,0,2
50700,36,1,0,1
101400,71,2,0,2
50600,46,1,1,1
